Matricula,Curso,HorasOrientadas,Medida,Setor,DiasSuspensao,Sexo,Serie,Perdeu_Residencia
55212,0,0,0,0,0,0,3,0
39217,0,17,2,1,0,1,2,0
2,0,0,4,0,5,0,2,0
2021300049,1,17,2,2,0,1,3,0
33227,0,17,2,5,0,1,1,0
8,0,30,2,1,0,1,2,0
167207,0,20,2,3,0,1,2,0
99201,0,10,2,2,0,0,3,0
1,0,17,2,1,0,0,1,0
75205,0,0,1,0,0,1,3,0
42218,0,15,2,5,0,0,2,0
60208,0,0,1,0,0,1,3,0
2020303242,1,15,2,2,0,0,3,0
162205,0,10,2,1,0,1,3,0
64203,0,0,1,0,0,1,1,0
79227,0,25,2,6,0,1,1,0
6220,0,17,2,8,0,1,,0
2020311342,1,10,2,5,0,1,3,0
2021300020,1,0,3,0,0,1,1,1
10,0,15,2,6,0,1,3,0
2021300020,0,0,4,0,5,1,1,0
2021300049,1,17,2,3,0,1,3,0
48224,0,25,2,1,0,1,1,0
116203,0,10,2,1,0,1,3,0
154202,0,25,2,3,0,0,3,0
50202,0,17,2,6,0,1,3,0
139203,0,10,2,2,0,0,3,0
151203,0,17,2,5,0,1,3,0
2020308884,1,17,2,7,0,0,3,0
1228,0,0,4,0,5,0,1,0
188204,0,15,2,5,0,1,2,0
79227,0,25,2,5,0,1,1,0
50202,0,17,2,1,0,1,3,0
82210,0,0,0,0,0,0,1,0
70203,0,17,2,8,0,1,3,0
115207,0,25,2,1,0,1,3,0
2,0,0,3,0,0,0,2,1
34223,0,25,2,1,0,1,1,0
2224,0,10,2,2,0,1,1,0
35220,0,17,2,5,0,1,1,0
2020303242,1,0,3,0,0,0,3,1
106208,0,20,2,1,0,1,1,0
50202,0,0,4,0,5,1,3,0
188204,0,20,2,1,0,1,3,0
44229,0,0,1,0,0,1,1,0
149209,0,0,1,0,0,1,1,0
69205,0,20,2,3,0,1,3,0
143200,0,0,4,0,5,0,3,0
35220,0,17,2,4,0,1,1,0
35220,0,0,4,0,5,1,1,0
13226,0,0,0,0,0,1,3,0
101206,0,10,2,2,0,0,3,0
186201,0,0,1,0,0,0,1,0
47210,0,15,2,5,0,1,2,0
97209,0,20,2,3,0,1,2,0
141208,0,0,4,0,5,0,3,0
3,0,25,2,1,0,1,1,0
